Specificity,Sensitivity,Threshold,Model,Outcome,FPR,Model_Type
0.10850202429149798,0.991869918699187,0.19284234941005707,Fundus,Glaucoma+Suspect vs Healthy,0.891497975708502,Unimodal
0.10931174089068826,0.991869918699187,0.19299152493476865,Fundus,Glaucoma+Suspect vs Healthy,0.8906882591093117,Unimodal
0.11012145748987855,0.991869918699187,0.19306384772062302,Fundus,Glaucoma+Suspect vs Healthy,0.8898785425101214,Unimodal
0.11174089068825911,0.991869918699187,0.1931161358952522,Fundus,Glaucoma+Suspect vs Healthy,0.8882591093117409,Unimodal
0.1125506072874494,0.991869918699187,0.19328952580690378,Fundus,Glaucoma+Suspect vs Healthy,0.8874493927125506,Unimodal
0.11336032388663968,0.991869918699187,0.193563662469387,Fundus,Glaucoma+Suspect vs Healthy,0.8866396761133604,Unimodal
0.11417004048582996,0.991869918699187,0.1937159970402717,Fundus,Glaucoma+Suspect vs Healthy,0.8858299595141701,Unimodal
0.11497975708502024,0.991869918699187,0.19450743496417994,Fundus,Glaucoma+Suspect vs Healthy,0.8850202429149797,Unimodal
0.11578947368421053,0.991869918699187,0.1955603584647178,Fundus,Glaucoma+Suspect vs Healthy,0.8842105263157894,Unimodal
0.11659919028340081,0.991869918699187,0.19589138031005854,Fundus,Glaucoma+Suspect vs Healthy,0.8834008097165992,Unimodal
0.11740890688259109,0.991869918699187,0.19600114971399307,Fundus,Glaucoma+Suspect vs Healthy,0.8825910931174089,Unimodal
0.11821862348178137,0.991869918699187,0.19625340402126312,Fundus,Glaucoma+Suspect vs Healthy,0.8817813765182186,Unimodal
0.11983805668016194,0.991869918699187,0.19660178571939466,Fundus,Glaucoma+Suspect vs Healthy,0.8801619433198381,Unimodal
0.1214574898785425,0.991869918699187,0.1970010474324226,Fundus,Glaucoma+Suspect vs Healthy,0.8785425101214575,Unimodal
0.12226720647773279,0.991869918699187,0.19728315621614456,Fundus,Glaucoma+Suspect vs Healthy,0.8777327935222672,Unimodal
0.12388663967611337,0.991869918699187,0.1974416300654411,Fundus,Glaucoma+Suspect vs Healthy,0.8761133603238866,Unimodal
0.12469635627530365,0.991869918699187,0.19762336462736124,Fundus,Glaucoma+Suspect vs Healthy,0.8753036437246964,Unimodal
0.12550607287449392,0.991869918699187,0.1978017166256904,Fundus,Glaucoma+Suspect vs Healthy,0.8744939271255061,Unimodal
0.12631578947368421,0.991869918699187,0.198012925684452,Fundus,Glaucoma+Suspect vs Healthy,0.8736842105263158,Unimodal
0.12712550607287448,0.991869918699187,0.19810401648283,Fundus,Glaucoma+Suspect vs Healthy,0.8728744939271256,Unimodal
0.12793522267206478,0.991869918699187,0.1981076076626777,Fundus,Glaucoma+Suspect vs Healthy,0.8720647773279352,Unimodal
0.12874493927125505,0.991869918699187,0.1982408091425895,Fundus,Glaucoma+Suspect vs Healthy,0.8712550607287449,Unimodal
0.12955465587044535,0.991869918699187,0.19845772534608835,Fundus,Glaucoma+Suspect vs Healthy,0.8704453441295547,Unimodal
0.1311740890688259,0.991869918699187,0.19860370457172388,Fundus,Glaucoma+Suspect vs Healthy,0.8688259109311741,Unimodal
0.1319838056680162,0.991869918699187,0.19893354177474976,Fundus,Glaucoma+Suspect vs Healthy,0.8680161943319837,Unimodal
0.13279352226720648,0.991869918699187,0.1992102935910225,Fundus,Glaucoma+Suspect vs Healthy,0.8672064777327935,Unimodal
0.13360323886639677,0.991869918699187,0.1993543356657028,Fundus,Glaucoma+Suspect vs Healthy,0.8663967611336032,Unimodal
0.13441295546558704,0.991869918699187,0.1997479125857353,Fundus,Glaucoma+Suspect vs Healthy,0.8655870445344129,Unimodal
0.1360323886639676,0.991869918699187,0.20028306543827057,Fundus,Glaucoma+Suspect vs Healthy,0.8639676113360324,Unimodal
0.1368421052631579,0.991869918699187,0.2005791217088699,Fundus,Glaucoma+Suspect vs Healthy,0.8631578947368421,Unimodal
0.13765182186234817,0.991869918699187,0.2006757631897926,Fundus,Glaucoma+Suspect vs Healthy,0.8623481781376519,Unimodal
0.13846153846153847,0.991869918699187,0.2010049074888229,Fundus,Glaucoma+Suspect vs Healthy,0.8615384615384616,Unimodal
0.13927125506072874,0.991869918699187,0.20127820223569864,Fundus,Glaucoma+Suspect vs Healthy,0.8607287449392713,Unimodal
0.14008097165991903,0.991869918699187,0.20132006704807276,Fundus,Glaucoma+Suspect vs Healthy,0.8599190283400809,Unimodal
