Domain,Model,Model_Type,Outcome,Threshold,Specificity,Sensitivity,FPR
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22342570126056666,0.22553699284009546,0.9485294117647058,0.7744630071599046
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22357192635536188,0.22673031026252982,0.9485294117647058,0.7732696897374702
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2237124741077423,0.22792362768496421,0.9485294117647058,0.7720763723150358
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2240398973226547,0.22911694510739858,0.9485294117647058,0.7708830548926014
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22433332353830335,0.22911694510739858,0.9411764705882353,0.7708830548926014
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22436495125293732,0.23031026252983294,0.9411764705882353,0.769689737470167
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.224550612270832,0.2315035799522673,0.9411764705882353,0.7684964200477327
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22478572279214853,0.23269689737470167,0.9411764705882353,0.7673031026252983
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22488550841808314,0.23389021479713604,0.9411764705882353,0.766109785202864
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2249897420406341,0.2350835322195704,0.9411764705882353,0.7649164677804297
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22513212263584137,0.23627684964200477,0.9411764705882353,0.7637231503579952
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2252182513475418,0.23747016706443913,0.9411764705882353,0.7625298329355609
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2255362272262573,0.2386634844868735,0.9411764705882353,0.7613365155131265
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22596067190170283,0.2398568019093079,0.9411764705882353,0.7601431980906921
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22614304721355433,0.24224343675417662,0.9411764705882353,0.7577565632458234
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22633587568998334,0.24224343675417662,0.9338235294117647,0.7577565632458234
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2267407104372978,0.24343675417661098,0.9338235294117647,0.7565632458233891
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22716318815946573,0.24463007159904535,0.9338235294117647,0.7553699284009546
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22732765972614286,0.2458233890214797,0.9338235294117647,0.7541766109785203
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22736661136150355,0.24701670644391407,0.9338235294117647,0.752983293556086
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2275031432509422,0.24821002386634844,0.9338235294117647,0.7517899761336515
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22777115553617475,0.2494033412887828,0.9338235294117647,0.7505966587112172
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2282769531011581,0.25059665871121717,0.9338235294117647,0.7494033412887828
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2286758199334144,0.25178997613365156,0.9338235294117647,0.7482100238663485
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2287864834070205,0.2529832935560859,0.9338235294117647,0.7470167064439142
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2289335578680038,0.2541766109785203,0.9338235294117647,0.7458233890214797
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.22909330576658246,0.256563245823389,0.9338235294117647,0.7434367541766109
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2293416783213615,0.256563245823389,0.9264705882352942,0.7434367541766109
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2295681238174438,0.2577565632458234,0.9264705882352942,0.7422434367541766
